# y = exp(-b1*x)/(b2+b3*x)  +  e
5.00E-001   9.29E+001   3.17E+000
1.00E+000   5.71E+001   3.17E+000
1.75E+000   3.11E+001   3.17E+000
3.75E+000   1.16E+001   3.17E+000
5.75E+000   8.03E+000   3.17E+000
8.75E-001   6.36E+001   3.17E+000
2.25E+000   2.14E+001   3.17E+000
3.25E+000   1.43E+001   3.17E+000
5.25E+000   8.48E+000   3.17E+000
7.50E-001   6.38E+001   3.17E+000
1.75E+000   2.68E+001   3.17E+000
2.75E+000   1.65E+001   3.17E+000
4.75E+000   7.13E+000   3.17E+000
6.25E-001   6.73E+001   3.17E+000
1.25E+000   4.10E+001   3.17E+000
2.25E+000   2.12E+001   3.17E+000
4.25E+000   8.18E+000   3.17E+000
5.00E-001   8.15E+001   3.17E+000
3.00E+000   1.31E+001   3.17E+000
7.50E-001   5.99E+001   3.17E+000
3.00E+000   1.46E+001   3.17E+000
1.50E+000   3.29E+001   3.17E+000
6.00E+000   5.44E+000   3.17E+000
3.00E+000   1.26E+001   3.17E+000
6.00E+000   5.44E+000   3.17E+000
1.50E+000   3.20E+001   3.17E+000
3.00E+000   1.40E+001   3.17E+000
5.00E-001   7.58E+001   3.17E+000
2.00E+000   2.00E+001   3.17E+000
4.00E+000   1.04E+001   3.17E+000
7.50E-001   5.95E+001   3.17E+000
2.00E+000   2.17E+001   3.17E+000
5.00E+000   8.55E+000   3.17E+000
7.50E-001   6.20E+001   3.17E+000
2.25E+000   2.02E+001   3.17E+000
3.75E+000   7.76E+000   3.17E+000
5.75E+000   3.75E+000   3.17E+000
3.00E+000   1.18E+001   3.17E+000
7.50E-001   5.47E+001   3.17E+000
2.50E+000   2.37E+001   3.17E+000
4.00E+000   1.16E+001   3.17E+000
7.50E-001   6.13E+001   3.17E+000
2.50E+000   1.77E+001   3.17E+000
4.00E+000   8.74E+000   3.17E+000
7.50E-001   5.92E+001   3.17E+000
2.50E+000   1.63E+001   3.17E+000
4.00E+000   8.62E+000   3.17E+000
5.00E-001   8.10E+001   3.17E+000
6.00E+000   4.87E+000   3.17E+000
3.00E+000   1.46E+001   3.17E+000
5.00E-001   8.17E+001   3.17E+000
2.75E+000   1.72E+001   3.17E+000
5.00E-001   8.13E+001   3.17E+000
1.75E+000   2.89E+001   3.17E+000
