#  y = (b1 + b2*x + b3*x**2) / (1 + b4*x + b5*x**2)  +  e
9.65E+000   8.20E-003   1.64E-001
1.07E+001   1.12E-002   1.64E-001
1.18E+001   1.49E-002   1.64E-001
1.29E+001   1.98E-002   1.64E-001
1.41E+001   2.48E-002   1.64E-001
1.53E+001   3.24E-002   1.64E-001
1.66E+001   4.20E-002   1.64E-001
1.82E+001   5.49E-002   1.64E-001
1.99E+001   7.19E-002   1.64E-001
2.18E+001   9.63E-002   1.64E-001
2.40E+001   1.29E-001   1.64E-001
2.63E+001   1.71E-001   1.64E-001
2.89E+001   2.31E-001   1.64E-001
3.19E+001   3.23E-001   1.64E-001
3.58E+001   4.81E-001   1.64E-001
4.02E+001   7.08E-001   1.64E-001
4.47E+001   1.02E+000   1.64E-001
4.95E+001   1.46E+000   1.64E-001
5.39E+001   1.95E+000   1.64E-001
5.83E+001   2.54E+000   1.64E-001
6.26E+001   3.22E+000   1.64E-001
6.70E+001   4.00E+000   1.64E-001
7.13E+001   4.85E+000   1.64E-001
7.52E+001   5.73E+000   1.64E-001
7.93E+001   6.73E+000   1.64E-001
8.36E+001   7.84E+000   1.64E-001
8.78E+001   9.03E+000   1.64E-001
9.19E+001   1.03E+001   1.64E-001
9.61E+001   1.16E+001   1.64E-001
1.00E+002   1.29E+001   1.64E-001
1.04E+002   1.44E+001   1.64E-001
1.09E+002   1.59E+001   1.64E-001
1.13E+002   1.73E+001   1.64E-001
1.17E+002   1.89E+001   1.64E-001
1.21E+002   2.06E+001   1.64E-001
1.26E+002   2.23E+001   1.64E-001
1.26E+002   2.23E+001   1.64E-001
1.29E+002   2.35E+001   1.64E-001
1.30E+002   2.41E+001   1.64E-001
1.33E+002   2.53E+001   1.64E-001
1.35E+002   2.59E+001   1.64E-001
1.38E+002   2.71E+001   1.64E-001
1.39E+002   2.77E+001   1.64E-001
1.42E+002   2.89E+001   1.64E-001
1.44E+002   2.95E+001   1.64E-001
1.47E+002   3.07E+001   1.64E-001
1.49E+002   3.14E+001   1.64E-001
1.51E+002   3.25E+001   1.64E-001
1.53E+002   3.32E+001   1.64E-001
1.56E+002   3.43E+001   1.64E-001
1.58E+002   3.51E+001   1.64E-001
1.61E+002   3.62E+001   1.64E-001
1.62E+002   3.68E+001   1.64E-001
1.65E+002   3.80E+001   1.64E-001
1.67E+002   3.87E+001   1.64E-001
1.70E+002   3.99E+001   1.64E-001
1.70E+002   4.00E+001   1.64E-001
1.72E+002   4.05E+001   1.64E-001
1.74E+002   4.14E+001   1.64E-001
1.75E+002   4.17E+001   1.64E-001
1.76E+002   4.23E+001   1.64E-001
1.77E+002   4.27E+001   1.64E-001
1.79E+002   4.35E+001   1.64E-001
1.81E+002   4.41E+001   1.64E-001
1.82E+002   4.46E+001   1.64E-001
1.84E+002   4.52E+001   1.64E-001
1.86E+002   4.59E+001   1.64E-001
1.87E+002   4.63E+001   1.64E-001
1.89E+002   4.70E+001   1.64E-001
1.90E+002   4.77E+001   1.64E-001
1.91E+002   4.81E+001   1.64E-001
1.93E+002   4.87E+001   1.64E-001
1.95E+002   4.94E+001   1.64E-001
1.96E+002   4.98E+001   1.64E-001
1.98E+002   5.04E+001   1.64E-001
2.00E+002   5.11E+001   1.64E-001
2.01E+002   5.15E+001   1.64E-001
2.03E+002   5.21E+001   1.64E-001
2.05E+002   5.28E+001   1.64E-001
2.06E+002   5.32E+001   1.64E-001
2.08E+002   5.38E+001   1.64E-001
2.10E+002   5.45E+001   1.64E-001
2.11E+002   5.48E+001   1.64E-001
2.12E+002   5.54E+001   1.64E-001
2.15E+002   5.64E+001   1.64E-001
2.17E+002   5.70E+001   1.64E-001
2.20E+002   5.80E+001   1.64E-001
2.22E+002   5.86E+001   1.64E-001
2.25E+002   5.96E+001   1.64E-001
2.27E+002   6.01E+001   1.64E-001
2.30E+002   6.11E+001   1.64E-001
2.32E+002   6.17E+001   1.64E-001
2.35E+002   6.26E+001   1.64E-001
2.37E+002   6.31E+001   1.64E-001
2.40E+002   6.40E+001   1.64E-001
2.42E+002   6.46E+001   1.64E-001
2.44E+002   6.55E+001   1.64E-001
2.46E+002   6.60E+001   1.64E-001
2.49E+002   6.69E+001   1.64E-001
2.51E+002   6.74E+001   1.64E-001
2.54E+002   6.82E+001   1.64E-001
2.56E+002   6.88E+001   1.64E-001
2.59E+002   6.96E+001   1.64E-001
2.61E+002   7.01E+001   1.64E-001
2.64E+002   7.09E+001   1.64E-001
2.66E+002   7.14E+001   1.64E-001
2.69E+002   7.22E+001   1.64E-001
2.71E+002   7.27E+001   1.64E-001
2.74E+002   7.34E+001   1.64E-001
2.76E+002   7.39E+001   1.64E-001
2.79E+002   7.46E+001   1.64E-001
2.81E+002   7.52E+001   1.64E-001
2.84E+002   7.58E+001   1.64E-001
2.86E+002   7.63E+001   1.64E-001
2.89E+002   7.70E+001   1.64E-001
2.91E+002   7.75E+001   1.64E-001
2.94E+002   7.81E+001   1.64E-001
2.96E+002   7.86E+001   1.64E-001
2.99E+002   7.92E+001   1.64E-001
3.01E+002   7.96E+001   1.64E-001
3.02E+002   7.99E+001   1.64E-001
3.03E+002   8.02E+001   1.64E-001
3.06E+002   8.07E+001   1.64E-001
3.08E+002   8.12E+001   1.64E-001
3.10E+002   8.17E+001   1.64E-001
3.13E+002   8.22E+001   1.64E-001
3.15E+002   8.26E+001   1.64E-001
3.18E+002   8.31E+001   1.64E-001
3.20E+002   8.35E+001   1.64E-001
3.22E+002   8.40E+001   1.64E-001
3.24E+002   8.44E+001   1.64E-001
3.27E+002   8.49E+001   1.64E-001
3.29E+002   8.53E+001   1.64E-001
3.32E+002   8.57E+001   1.64E-001
3.34E+002   8.61E+001   1.64E-001
3.36E+002   8.65E+001   1.64E-001
3.38E+002   8.69E+001   1.64E-001
3.41E+002   8.73E+001   1.64E-001
3.43E+002   8.77E+001   1.64E-001
3.45E+002   8.81E+001   1.64E-001
3.47E+002   8.84E+001   1.64E-001
3.50E+002   8.88E+001   1.64E-001
3.51E+002   8.91E+001   1.64E-001
3.54E+002   8.95E+001   1.64E-001
3.56E+002   8.99E+001   1.64E-001
3.58E+002   9.03E+001   1.64E-001
3.60E+002   9.06E+001   1.64E-001
3.63E+002   9.09E+001   1.64E-001
3.65E+002   9.12E+001   1.64E-001
3.67E+002   9.16E+001   1.64E-001
3.71E+002   9.22E+001   1.64E-001
