# y = b1*exp(-b2*x) + b3*exp(-b4*x) + b5*exp(-b6*x)  +  e
0.00E+000   2.51E+000   8.92E-014
5.00E-002   2.04E+000   8.92E-014
1.00E-001   1.67E+000   8.92E-014
1.50E-001   1.37E+000   8.92E-014
2.00E-001   1.12E+000   8.92E-014
2.50E-001   9.27E-001   8.92E-014
3.00E-001   7.68E-001   8.92E-014
3.50E-001   6.39E-001   8.92E-014
4.00E-001   5.34E-001   8.92E-014
4.50E-001   4.48E-001   8.92E-014
5.00E-001   3.78E-001   8.92E-014
5.50E-001   3.20E-001   8.92E-014
6.00E-001   2.72E-001   8.92E-014
6.50E-001   2.32E-001   8.92E-014
7.00E-001   2.00E-001   8.92E-014
7.50E-001   1.72E-001   8.92E-014
8.00E-001   1.49E-001   8.92E-014
8.50E-001   1.30E-001   8.92E-014
9.00E-001   1.14E-001   8.92E-014
9.50E-001   1.00E-001   8.92E-014
1.00E+000   8.83E-002   8.92E-014
1.05E+000   7.83E-002   8.92E-014
1.10E+000   6.98E-002   8.92E-014
1.15E+000   6.24E-002   8.92E-014
