#y = b1 + b2*exp[-x*b4] + b3*exp[-x*b5]  +  e
0.00E+000   8.44E-001   1.40E-003
1.00E+001   9.08E-001   1.40E-003
2.00E+001   9.32E-001   1.40E-003
3.00E+001   9.36E-001   1.40E-003
4.00E+001   9.25E-001   1.40E-003
5.00E+001   9.08E-001   1.40E-003
6.00E+001   8.81E-001   1.40E-003
7.00E+001   8.50E-001   1.40E-003
8.00E+001   8.18E-001   1.40E-003
9.00E+001   7.84E-001   1.40E-003
1.00E+002   7.51E-001   1.40E-003
1.10E+002   7.18E-001   1.40E-003
1.20E+002   6.85E-001   1.40E-003
1.30E+002   6.58E-001   1.40E-003
1.40E+002   6.28E-001   1.40E-003
1.50E+002   6.03E-001   1.40E-003
1.60E+002   5.80E-001   1.40E-003
1.70E+002   5.58E-001   1.40E-003
1.80E+002   5.38E-001   1.40E-003
1.90E+002   5.22E-001   1.40E-003
2.00E+002   5.06E-001   1.40E-003
2.10E+002   4.90E-001   1.40E-003
2.20E+002   4.78E-001   1.40E-003
2.30E+002   4.67E-001   1.40E-003
2.40E+002   4.57E-001   1.40E-003
2.50E+002   4.48E-001   1.40E-003
2.60E+002   4.38E-001   1.40E-003
2.70E+002   4.31E-001   1.40E-003
2.80E+002   4.24E-001   1.40E-003
2.90E+002   4.20E-001   1.40E-003
3.00E+002   4.14E-001   1.40E-003
3.10E+002   4.11E-001   1.40E-003
3.20E+002   4.06E-001   1.40E-003
