#  y = b1*(1-exp[-b2*x])  +  e
1.01E+001   7.76E+001   1.02E-001
1.47E+001   1.15E+002   1.02E-001
1.79E+001   1.41E+002   1.02E-001
2.39E+001   1.91E+002   1.02E-001
2.96E+001   2.40E+002   1.02E-001
3.52E+001   2.89E+002   1.02E-001
4.00E+001   3.33E+002   1.02E-001
4.48E+001   3.78E+002   1.02E-001
5.08E+001   4.35E+002   1.02E-001
5.51E+001   4.77E+002   1.02E-001
6.10E+001   5.37E+002   1.02E-001
6.64E+001   5.93E+002   1.02E-001
7.55E+001   6.89E+002   1.02E-001
81.780000   760.000000  1.02E-001
