#y = b1*b2*x*((1+b2*x)**(-1))  +  e
7.76E+001   1.01E+001   6.86E-002
1.15E+002   1.47E+001   6.86E-002
1.41E+002   1.79E+001   6.86E-002
1.91E+002   2.39E+001   6.86E-002
2.40E+002   2.96E+001   6.86E-002
2.89E+002   3.52E+001   6.86E-002
3.33E+002   4.00E+001   6.86E-002
3.78E+002   4.48E+001   6.86E-002
4.35E+002   5.08E+001   6.86E-002
4.77E+002   5.51E+001   6.86E-002
5.37E+002   6.10E+001   6.86E-002
5.93E+002   6.64E+001   6.86E-002
6.89E+002   7.55E+001   6.86E-002
7.60E+002   8.18E+001   6.86E-002
